"Company","ProblemCount","Problems"
"Citadel","23","Best Position for a Service Centre | Best Time to Buy and Sell Stock IV | Coin Change II | Count Ways To Build Good Strings | Find Median from Data Stream | First Completely Painted Row or Column | Integer Break | Longest Increasing Path in a Matrix | Longest Non-decreasing Subarray From Two Arrays | Minimum Costs Using the Train Line | Minimum Equal Sum of Two Arrays After Replacing Zeros | Minimum Knight Moves | Number of Good Binary Strings | Number of Islands | Pairs of Songs With Total Durations Divisible by 60 | Populating Next Right Pointers in Each Node II | Range Addition | Robot Room Cleaner | Sliding Window Maximum | Smallest Range II | Transform to Chessboard | Transpose Matrix | Trapping Rain Water"
"Citi Bank","1","Coin Change II"
"Citicorp","1","Search in Rotated Sorted Array"
"Citrix","6","Check if Strings Can be Made Equal With Operations I | Check if Strings Can be Made Equal With Operations II | Copy List with Random Pointer | Find All Groups of Farmland | Longest Increasing Subsequence | Maximum Length of Pair Chain"
"Clari","2","Create Binary Tree From Descriptions | Group Employees of the Same Salary"
"Clarivate","1","Counting Bits"
"ClearSummit","1","Minimum Depth of Binary Tree"
"Cleartrail Technologies","1","Linked List Cycle"
"Cleartrip","1","Maximum Number of Coins You Can Get"
"Cloud Analogy","2","Coin Change II | Reverse Linked List II"
"Cloudera","3","Implement Stack using Queues | Linked List Cycle | Number of Dice Rolls With Target Sum"
"Clutter","1","Before and After Puzzle"
"Coalition Tech","1","Permutations"
"Codeagon","1","Make the XOR of All Segments Equal to Zero"
"Codenation","11","Backspace String Compare | Building Boxes | Count Subtrees With Max Distance Between Cities | Longest Increasing Subsequence | Longest Palindromic Subsequence II | Maximum Product of the Length of Two Palindromic Substrings | Reverse Subarray To Maximize Array Value | Reverse Words in a String III | Search a 2D Matrix | Smallest Missing Genetic Value in Each Subtree | Sum of Numbers With Units Digit K"
"Coderbyte","1","The Number of Employees Which Report to Each Employee"
"codezero2pi","1","Candy"
"Coding Ninjas","1","Median of Two Sorted Arrays"
"Coditas","1","Majority Element II"
"Coditas Technology","1","Validate Binary Tree Nodes"
"Coforge","1","Reverse Linked List II"
"Cognizant","15","Candy | Coin Change II | Design HashMap | Largest Color Value in a Directed Graph | Linked List Cycle | Longest Increasing Subsequence | LRU Cache | Permutations | Reverse Linked List II | Search in Rotated Sorted Array | Shortest Path in Binary Matrix | Shortest Path Visiting All Nodes | Sliding Window Maximum | Smallest Value of the Rearranged Number | Spiral Matrix"
"CogoPort","2","Counting Bits | Number of Dice Rolls With Target Sum"
"Cohesity","1","Largest BST Subtree"
"Coinbase","4","Decode the Message | Linked List Cycle | Minimum Cost to Connect Sticks | Number of Dice Rolls With Target Sum"
"CoinDCX","1","Unique Paths"
"Commvault","5","Count Unreachable Pairs of Nodes in an Undirected Graph | Count Vowel Substrings of a String | Excel Sheet Column Title | Longest Increasing Subsequence | Longest Palindromic Substring"
"Conduent","1","Reverse Linked List II"
"Confluent","1","Minimum Time to Eat All Grains"
"Congnizant","2","Counting Bits | Median of Two Sorted Arrays"
"Continental","1","Coin Change II"
"Coupang","3","Cheapest Flights Within K Stops | Number of Atoms | Range Module"
"CouponDunia","1","Implement Stack using Queues"
"Coursera","9","Highest Grade For Each Student | Minimum Increment to Make Array Unique | N-th Tribonacci Number | Number of Music Playlists | Rank Teams by Votes | Reaching Points | Special Binary String | Text Justification | Wildcard Matching"
"CRED","1","Linked List Cycle"
"Credit Suisse","3","Coin Change II | Copy List with Random Pointer | Reverse Linked List II"
"CropIn Technology","1","Bus Routes"
"Cruise Automation","10","Car Pooling | Decode String | Number of Islands | Palindrome Permutation II | Product of the Last K Numbers | Sliding Window Maximum | Synonymous Sentences | The Skyline Problem | Unique Paths II | Valid Sudoku"
"Cuemath","1","Longest Palindromic Substring"
"CureFit","3","Capacity To Ship Packages Within D Days | Minimum Moves to Make Array Complementary | Search in Rotated Sorted Array"
"Cvent","1","Permutations"
"D.E. Shaw","3","Design HashMap | Equal Row and Column Pairs | Maximum Level Sum of a Binary Tree"
"Daffodil Software","1","Longest Palindromic Substring"
"DailyHunt","1","Minimum Recolors to Get K Consecutive Black Blocks"
"Databricks","12","Count Integers in Intervals | Design A Leaderboard | Design Hit Counter | First Missing Positive | IP to CIDR | Letter Combinations of a Phone Number | Longest Palindrome by Concatenating Two Letter Words | Maximum Profit in Job Scheduling | Minimum Absolute Difference Between Elements With Constraint | Sliding Window Maximum | Sparse Matrix Multiplication | Step-By-Step Directions From a Binary Tree Node to Another"
"Dataminr","2","Maximum Building Height | Valid Parentheses"
"Davis Software","1","Minimum Number of Taps to Open to Water a Garden"
"DE Shaw","31","Binary Tree Cameras | Champagne Tower | Copy List with Random Pointer | Count of Integers | Determine the Winner of a Bowling Game | Find the Maximum Divisibility Score | Freedom Trail | Get the Maximum Score | Greatest Sum Divisible by Three | Implement Stack using Queues | Linked List Cycle | Longest Increasing Path in a Matrix | Make Costs of Paths Equal in a Binary Tree | Maximum Deletions on a String | Maximum Points After Collecting Coins From All Nodes | Median of a Row Wise Sorted Matrix | Minimum Cost to Merge Stones | Minimum Size Subarray in Infinite Array | Next Greater Element III | Next Permutation | Number of Substrings Containing All Three Characters | Number of Wonderful Substrings | Query Kth Smallest Trimmed Number | Removing Minimum Number of Magic Beans | Search in Rotated Sorted Array | Shortest String That Contains Three Strings | Sliding Window Maximum | Subarrays with K Different Integers | Sum Game | Sum of Subarray Minimums | Take Gifts From the Richest Pile"
"De Shaw and Co","1","Minimum Flips to Make a OR b Equal to c"
"De Shaw And Co.","1","Missing Number In Arithmetic Progression"
"DE Shaw India","12","Asteroid Collision | Candy | Coin Change II | Find Median from Data Stream | Find the Highest Altitude | Interleaving String | LRU Cache | Maximum Difference Between Increasing Elements | Minimum Number of Taps to Open to Water a Garden | Peak Index in a Mountain Array | Reverse Linked List II | Unique Paths II"
"DealShare.in","2","Kth Largest Element in an Array | Reconstruct Itinerary"
"DeeHat","1","Find Eventual Safe States"
"Delhivery","4","Coin Change II | Linked List Cycle | Reverse Linked List II | Search in Rotated Sorted Array"
"Deliveroo","1","Find Words Containing Character"
"Delivery Hero","1","Number of Burgers with No Waste of Ingredients"
"Dell","3","Reverse Linked List II | Shortest Bridge | Two Sum"
"Dell India","1","Pow(x, n)"
"Delloitte","1","Reverse Linked List II"
"Deloitte","3","Change Null Values in a Table to the Previous Value | Excel Sheet Column Title | Unique Binary Search Trees II"
"DeltaX","1","Reverse Linked List II"
"DE-Shaw","1","Find the Duplicate Number"
"D-E-Shaw","1","Majority Element II"
"Desi QnA","1","Minimum Number of Taps to Open to Water a Garden"
"Deutsche Bank","16","Add Two Numbers II | Apply Operations to Maximize Frequency Score | Coin Change II | Frequency of the Most Frequent Element | Linked List Cycle | Longest Increasing Subsequence | Maximum Coins Heroes Can Collect | Maximum Fruits Harvested After at Most K Steps | Maximum Running Time of N Computers | Minimum Deletions to Make Character Frequencies Unique | Minimum Operations to Collect Elements | Minimum Operations to Make the Array Increasing | Pour Water Between Buckets to Make Water Levels Equal | Robot Collisions | Smallest K-Length Subsequence With Occurrences of a Letter | The Time When the Network Becomes Idle"
"Digital 1Ã—1","1","Reverse Linked List II"
"Directi","10","Difference Between Maximum and Minimum Price Sum | Excel Sheet Column Title | Find Longest Awesome Substring | Find the Winner of an Array Game | Knight Probability in Chessboard | Largest Submatrix With Rearrangements | Maximum XOR of Two Non-Overlapping Subtrees | Minimum Cost to Buy Apples | Reorganize String | Unique Paths"
"Discord","1","Match Substring After Replacement"
"Disney","1","Number of Islands"
"Disney + Hotstar","1","Longest Increasing Subsequence"
"Disney+ Hotstar","2","LRU Cache | Search in Rotated Sorted Array"
"DJI","1","Three Consecutive Odds"
"Docquity","1","Implement Stack using Queues"
"Docusign","11","Best Time to Buy and Sell Stock | Find the Safest Path in a Grid | Implement Trie II (Prefix Tree) | LRU Cache | Maximum Subarray | Minesweeper | Minimum Knight Moves | Minimum Number of Taps to Open to Water a Garden | Number of Islands | Reaching Points | Rectangle Overlap"
"DoorDash","55","Asteroid Collision | Basic Calculator | Basic Calculator III | Binary Tree Maximum Path Sum | Binary Tree Right Side View | Buddy Strings | Capacity To Ship Packages Within D Days | Car Pooling | Count All Valid Pickup and Delivery Options | Count Nodes With the Highest Score | Count Sub Islands | Design Add and Search Words Data Structure | Design In-Memory File System | Diameter of N-Ary Tree | Employee Free Time | Exclusive Time of Functions | Find Median from Data Stream | Find Nearest Point That Has the Same X or Y Coordinate | Immediate Food Delivery I | Immediate Food Delivery II | Integer to English Words | Interval List Intersections | Jump Game | Jump Game II | K-diff Pairs in an Array | K-Similar Strings | Largest Rectangle in Histogram | Longest Common Subsequence | Longest Increasing Path in a Matrix | Making A Large Island | Maximum Path Quality of a Graph | Maximum Profit in Job Scheduling | Mice and Cheese | Minimum Cost to Connect Sticks | Minimum Number of Steps to Make Two Strings Anagram | Most Profit Assigning Work | Next Greater Element III | Next Permutation | Number of Distinct Islands | Number of Islands | Number of Visible People in a Queue | Path Sum III | Path With Maximum Minimum Value | Possible Bipartition | Serialize and Deserialize Binary Tree | Serialize and Deserialize N-ary Tree | Shortest Distance from All Buildings | Shortest Path in a Grid with Obstacles Elimination | Shortest Path to Get Food | Sliding Window Maximum | Subarray Sum Equals K | Subsequence With the Minimum Score | Sudoku Solver | Swim in Rising Water | Walls and Gates"
"DotPe","1","Minimum Insertion Steps to Make a String Palindrome"
"Drawbridge","1","Set Intersection Size At Least Two"
"Drawinbox","1","All Nodes Distance K in Binary Tree"
"Dropbox","14","Check If It Is a Good Array | Design a Text Editor | Design Phone Directory | Find Duplicate File in System | Game of Life | Grid Illumination | Max Area of Island | Minimize Malware Spread | Minimize Malware Spread II | Number of Islands | Number of Valid Words for Each Puzzle | Seat Reservation Manager | Sliding Window Maximum | Web Crawler"
"Druva","1","Maximize Sum Of Array After K Negations"
"DRW","5","Counting Elements | Longest Happy String | Remove Duplicate Letters | Reorder Routes to Make All Paths Lead to the City Zero | Subsequence of Size K With the Largest Even Sum"
"DTCC","4","Counting Bits | Permutations | Unique Paths | Word Break"
"Dunzo","24","01 Matrix | Arithmetic Subarrays | Asteroid Collision | Build Array Where You Can Find The Maximum Exactly K Comparisons | Coin Change II | Find All Good Strings | Frog Jump | Implement Stack using Queues | Letter Combinations of a Phone Number | Linked List Cycle | LRU Cache | Max Sum of Rectangle No Larger Than K | Maximum Number of Coins You Can Get | Number of Distinct Substrings in a String | Number of Ways to Form a Target String Given a Dictionary | Peak Index in a Mountain Array | Permutations | Reorganize String | Reverse Linked List II | Shortest Path in Binary Matrix | Stone Game VII | Sum of Subarray Minimums | Ways to Make a Fair Array | Word Break"
"Duolingo","4","Encrypt and Decrypt Strings | K Radius Subarray Averages | Longest Increasing Path in a Matrix | Minimum Number of People to Teach"
"Dyslexic","1","Summary Ranges"
"EagleView India","1","Search in Rotated Sorted Array"
"Eaton","1","Search in Rotated Sorted Array"
"eBay","27","Add Two Numbers II | Alternating Digit Sum | Best Time to Buy and Sell Stock | Candy Crush | Count and Say | Design Bounded Blocking Queue | Design Skiplist | Find Median from Data Stream | Find the Duplicate Number | Group Anagrams | Implement Queue using Stacks | Is Graph Bipartite? | Kth Largest Element in an Array | Letter Combinations of a Phone Number | Longest Consecutive Sequence | Minimize Maximum Pair Sum in Array | Number of Islands | Odd Even Linked List | Permutations | Pow(x, n) | Reorganize String | Reverse Words in a String III | Rotating the Box | Shortest Palindrome | Text Justification | Unique Binary Search Trees II | Word Break"
